COMPANY,MODEL,TYPE,MID-PRICE,CITY-MPG,HGW-MPG,AIRBAGS,DRIVETRAIN,NO-OF-CYL,ENG SIZE,HORSEPWR,TRANS,FUEL-CAP,PAS-CAP,LENGTH,WEIGHT,MANUFACTURER
Oldsmobile,Cutlass_Ciera,Midsize,16.3,23,31,1,1,4,2.2,110,0,16.5,5,190,2890,1
Oldsmobile,Silhouette,Van,19.5,18,23,0,1,6,3.8,170,0,20.0,7,194,3715,1
Oldsmobile,Eighty-Eight,Large,20.7,19,28,1,1,6,3.8,170,0,18.0,6,201,3470,1
Plymouth,Laser,Sporty,14.4,23,30,0,2,4,1.8,92,1,15.9,4,173,2640,1
Pontiac,LeMans,Small,9.0,31,41,0,1,4,1.6,74,1,13.2,4,177,2350,1
Pontiac,Sunbird,Compact,11.1,23,31,0,1,4,2.0,110,1,15.2,5,181,2575,1
Pontiac,Firebird,Sporty,17.7,19,28,2,0,6,3.4,160,1,15.5,4,196,3240,1
Pontiac,Grand_Prix,Midsize,18.5,19,27,0,1,6,3.4,200,1,16.5,5,195,3450,1
Pontiac,Bonneville,Large,24.4,19,28,2,1,6,3.8,170,0,18.0,6,177,3495,1
Saab,900,Compact,28.7,20,26,1,1,4,2.1,140,1,18.0,5,184,2775,0
Saturn,SL,Small,11.1,28,38,1,1,4,1.9,85,1,12.8,5,176,2495,1
Subaru,Justy,Small,8.4,33,37,0,2,3,1.2,73,1,9.2,4,146,2045,0
Subaru,Loyale,Small,10.9,25,30,0,2,4,1.8,90,1,15.9,5,175,2490,0
Subaru,Legacy,Compact,19.5,23,30,1,2,4,2.2,130,1,15.9,5,179,3085,0
Suzuki,Swift,Small,8.6,39,43,0,1,3,1.3,70,1,10.6,4,161,1965,0
Toyota,Tercel,Small,9.8,32,37,1,1,4,1.5,82,1,11.9,5,162,2055,0
Toyota,Celica,Sporty,18.4,25,32,1,1,4,2.2,135,1,15.9,4,174,2950,0
Toyota,Camry,Midsize,18.2,22,29,1,1,4,2.2,130,1,18.5,5,188,3030,0
Toyota,Previa,Van,22.7,18,22,1,2,4,2.4,138,1,19.8,7,187,3785,0
Volkswagen,Fox,Small,9.1,25,33,0,1,4,1.8,81,1,12.4,4,163,2240,0
Volkswagen,Eurovan,Van,19.7,17,21,0,1,5,2.5,109,1,21.1,7,187,3960,0
Volkswagen,Passat,Compact,20.0,21,30,0,1,4,2.0,134,1,18.5,5,180,2985,0
Volkswagen,Corrado,Sporty,23.3,18,25,0,1,6,2.8,178,1,18.5,4,159,2810,0
Volvo,240,Compact,22.7,21,28,1,0,4,2.3,114,1,15.8,5,190,2985,0
Volvo,850,Midsize,26.7,20,28,2,1,5,2.4,168,1,19.3,5,184,3245,0
